cell_type,condition,n_cells,gene,mean_expr,mean_expr_pos,pct_positive
Erythrocyte,DVT,20,Fn1,-0.318635,0.476538,45.0
Erythrocyte,DVT,20,Col1a1,-0.449433,0.706114,15.0
Erythrocyte,DVT,20,Tlr4,-0.392608,0.0,0.0
Erythrocyte,DVT,20,Tnf,-0.25332,0.0,0.0
Erythrocyte,DVT,20,Runx2,-0.313466,0.0,0.0
Erythrocyte,DVT,20,Dnmt3a,-0.632261,0.0,0.0
Erythrocyte,DVT,20,Stat3,-0.733511,0.997402,15.0
Erythrocyte,DVT,20,Ccl2,0.005297,5.352524,5.0
Erythrocyte,DVT,20,Acta2,-0.06447,1.529987,20.0
Erythrocyte,DVT,20,Il6,-0.070747,4.100445,5.0
Erythrocyte,DVT,20,Prkca,-0.558629,0.0,0.0
Erythrocyte,DVT,20,Rela,-0.601611,0.0,0.0
Erythrocyte,DVT,20,Spp1,0.750831,8.968943,10.0
Erythrocyte,DVT,20,Tgfb1,-0.476925,0.0,0.0
Erythrocyte,DVT,20,Smad4,-0.407147,3.424502,5.0
Erythrocyte,DVT,20,Nfkb1,-0.830343,0.0,0.0
Fibroblast,Control,2477,Sell,-0.193753,3.370622,2.83
Fibroblast,Control,2477,Fn1,-0.189467,0.867052,42.11
Fibroblast,Control,2477,Col1a1,-0.198799,0.571012,46.31
Fibroblast,Control,2477,Tlr4,-0.113475,3.62724,6.94
Fibroblast,Control,2477,Tnf,-0.13079,4.021431,2.87
Fibroblast,Control,2477,Runx2,-0.229633,3.39468,2.26
Fibroblast,Control,2477,Dnmt3a,-0.379243,2.269249,8.72
Fibroblast,Control,2477,Stat3,-0.57006,0.939706,23.7
Fibroblast,Control,2477,Ccl2,-0.04989,4.596999,4.64
Fibroblast,Control,2477,Acta2,-0.283319,1.524765,9.04
Fibroblast,Control,2477,Il6,-0.22999,3.5391,1.57
Fibroblast,Control,2477,Prkca,-0.121028,2.137729,16.23
Fibroblast,Control,2477,Rela,-0.308599,2.486853,9.49
Fibroblast,Control,2477,Spp1,-0.087495,6.963646,1.05
Fibroblast,Control,2477,Tgfb1,-0.244475,2.431038,7.99
Fibroblast,Control,2477,Smad4,-0.276971,2.516562,10.62
Fibroblast,Control,2477,Nfkb1,-0.479069,1.323389,16.31
Fibroblast,DVT,9664,Sell,-0.035295,2.61084,9.01
Fibroblast,DVT,9664,Fn1,0.355343,1.002084,63.66
Fibroblast,DVT,9664,Col1a1,0.665911,1.118997,73.2
Fibroblast,DVT,9664,Tlr4,0.019533,1.66257,20.05
Fibroblast,DVT,9664,Tnf,-0.096299,2.567229,5.57
Fibroblast,DVT,9664,Runx2,0.204254,2.360638,19.36
Fibroblast,DVT,9664,Dnmt3a,0.122125,1.132811,42.66
Fibroblast,DVT,9664,Stat3,0.056776,0.807318,52.97
Fibroblast,DVT,9664,Ccl2,-0.006966,2.497059,9.71
Fibroblast,DVT,9664,Acta2,-0.082779,0.768168,30.37
Fibroblast,DVT,9664,Il6,0.184728,2.759888,15.57
Fibroblast,DVT,9664,Prkca,0.335519,1.343366,46.95
Fibroblast,DVT,9664,Rela,0.037365,1.149221,36.48
Fibroblast,DVT,9664,Spp1,-0.020461,3.444719,3.93
Fibroblast,DVT,9664,Tgfb1,-0.126601,1.453248,18.15
Fibroblast,DVT,9664,Smad4,0.13151,1.189861,41.14
Fibroblast,DVT,9664,Nfkb1,0.107391,0.92567,50.27
Macrophage,Control,1,Sell,-0.297411,0.0,0.0
Macrophage,Control,1,Fn1,-0.969231,0.0,0.0
Macrophage,Control,1,Col1a1,-1.286045,0.0,0.0
Macrophage,Control,1,Tlr4,-0.392608,0.0,0.0
Macrophage,Control,1,Tnf,5.732434,5.732434,100.0
Macrophage,Control,1,Runx2,-0.313466,0.0,0.0
Macrophage,Control,1,Dnmt3a,-0.632261,0.0,0.0
Macrophage,Control,1,Stat3,-1.038966,0.0,0.0
Macrophage,Control,1,Ccl2,7.047429,7.047429,100.0
Macrophage,Control,1,Acta2,-0.463085,0.0,0.0
Macrophage,Control,1,Il6,-0.290283,0.0,0.0
Macrophage,Control,1,Prkca,-0.558629,0.0,0.0
Macrophage,Control,1,Rela,2.382263,2.382263,100.0
Macrophage,Control,1,Spp1,-0.162293,0.0,0.0
Macrophage,Control,1,Tgfb1,-0.476925,0.0,0.0
Macrophage,Control,1,Smad4,-0.608813,0.0,0.0
Macrophage,Control,1,Nfkb1,1.225497,1.225497,100.0
Macrophage,DVT,696,Sell,-0.242024,1.630059,2.87
Macrophage,DVT,696,Fn1,-0.389788,0.704591,21.84
Macrophage,DVT,696,Col1a1,-0.391966,0.16648,8.91
Macrophage,DVT,696,Tlr4,0.416619,1.954152,34.48
Macrophage,DVT,696,Tnf,1.6578,3.293719,53.88
Macrophage,DVT,696,Runx2,-0.08176,1.540183,12.5
Macrophage,DVT,696,Dnmt3a,0.643292,1.466522,60.78
Macrophage,DVT,696,Stat3,0.442929,0.864074,72.99
Macrophage,DVT,696,Ccl2,1.544867,3.264138,51.44
Macrophage,DVT,696,Acta2,-0.119993,0.635451,31.03
Macrophage,DVT,696,Il6,-0.22968,1.718295,3.02
Macrophage,DVT,696,Prkca,-0.465625,0.912514,6.32
Macrophage,DVT,696,Rela,0.343825,1.2731,50.43
Macrophage,DVT,696,Spp1,0.928326,5.22119,20.26
Macrophage,DVT,696,Tgfb1,1.045406,1.763122,67.96
Macrophage,DVT,696,Smad4,-0.002957,1.19322,33.62
Macrophage,DVT,696,Nfkb1,0.58068,0.986618,76.87
Monocyte,Control,3,Sell,0.629388,2.482986,33.33
Monocyte,Control,3,Fn1,1.3978,1.3978,100.0
Monocyte,Control,3,Col1a1,-1.286045,0.0,0.0
Monocyte,Control,3,Tlr4,-0.392608,0.0,0.0
Monocyte,Control,3,Tnf,-0.25332,0.0,0.0
Monocyte,Control,3,Runx2,0.679857,2.666504,33.33
Monocyte,Control,3,Dnmt3a,0.511715,2.799666,33.33
Monocyte,Control,3,Stat3,1.15381,2.250198,66.67
Monocyte,Control,3,Ccl2,1.255418,4.318527,33.33
Monocyte,Control,3,Acta2,-0.463085,0.0,0.0
Monocyte,Control,3,Il6,0.851635,3.135473,33.33
Monocyte,Control,3,Prkca,0.766436,3.416564,33.33
