UMAP1,UMAP2,cell_type,condition
5.778959,-0.9777779,Fibroblast,Control
9.393845,1.6979902,Endothelial,Control
5.1436024,1.9476364,Endothelial,Control
3.1595972,-6.6624374,Fibroblast,Control
0.8487492,-7.1782513,Fibroblast,Control
6.8189335,0.9158743,Endothelial,Control
8.774684,0.19955371,Endothelial,Control
0.5658203,-5.4010134,Fibroblast,Control
8.644825,1.0821393,Endothelial,Control
9.559856,3.6846914,Endothelial,Control
9.141165,0.65727156,Endothelial,Control
-1.360745,7.4593577,Fibroblast,Control
7.929,1.7515326,Endothelial,Control
2.3014827,-7.6076536,Fibroblast,Control
0.14069906,-8.77197,Fibroblast,Control
8.800169,0.82916903,Endothelial,Control
0.18014307,12.343025,Fibroblast,Control
8.614049,1.0855575,Endothelial,Control
-0.36282814,-7.143433,Fibroblast,Control
1.0948554,-8.695818,Fibroblast,Control
1.3452314,-9.109379,Fibroblast,Control
8.8393345,0.6493784,Endothelial,Control
-0.8563032,13.168193,Fibroblast,Control
0.38695815,-7.3576765,Fibroblast,Control
9.667269,1.0059059,Endothelial,Control
2.3712218,-6.808929,Fibroblast,Control
0.10836965,-9.069511,Fibroblast,Control
9.361385,0.95348555,Endothelial,Control
-1.7663853,7.39229,Fibroblast,Control
5.274676,9.11104,B_cell,Control
9.240889,2.4664354,Endothelial,Control
3.0339892,-6.848384,Fibroblast,Control
7.6542253,0.31123915,Endothelial,Control
2.084134,15.445378,Fibroblast,Control
-1.7093644,7.261829,Fibroblast,Control
0.59942925,-8.803991,Fibroblast,Control
8.214542,0.9118617,Endothelial,Control
-1.432889,13.744982,Fibroblast,Control
0.498634,15.154439,Fibroblast,Control
-11.530124,0.16221856,Erythrocyte,Control
8.901124,2.993554,Endothelial,Control
-0.32018092,-7.921206,Fibroblast,Control
8.816937,2.3240507,Endothelial,Control
-5.0370975,4.2764816,Fibroblast,Control
-4.3583198,10.681166,Neutrophil,Control
5.9752235,1.4306312,Endothelial,Control
9.1887865,2.8343668,Endothelial,Control
-0.2210621,-7.714221,Fibroblast,Control
0.65324134,-9.647561,Fibroblast,Control
9.369704,2.219864,Endothelial,Control
3.0154142,-5.562196,Fibroblast,Control
9.5561,0.9970979,Endothelial,Control
3.9523911,2.1539867,Endothelial,Control
-0.75436085,13.078251,Fibroblast,Control
8.176236,2.4979925,Endothelial,Control
3.920253,-5.775441,Fibroblast,Control
9.110786,0.94952583,Endothelial,Control
0.26369596,-8.161247,Fibroblast,Control
-10.034988,3.3412514,Fibroblast,Control
9.061846,2.9359627,Endothelial,Control
1.252666,3.0528946,Endothelial,Control
4.106939,-5.5586214,Fibroblast,Control
-0.90414184,13.220765,Fibroblast,Control
0.36120412,-7.771594,Fibroblast,Control
1.9223357,2.857785,Endothelial,Control
-0.24394137,12.285244,Fibroblast,Control
6.7195325,1.8162861,Endothelial,Control
-10.06299,3.5507436,Fibroblast,Control
2.749497,-6.7742276,Fibroblast,Control
9.4570465,2.3790872,Endothelial,Control
0.3168496,-8.449583,Fibroblast,Control
-5.586221,0.7926175,VSMC,Control
2.1991873,-6.936352,Fibroblast,Control
9.046825,2.2220268,Endothelial,Control
-4.8371916,5.9174976,Fibroblast,Control
9.655748,1.4127842,Endothelial,Control
8.875168,2.4439182,Endothelial,Control
9.544574,3.036821,Endothelial,Control
9.772621,2.0057397,Endothelial,Control
-0.7598502,13.306239,Fibroblast,Control
1.8825278,-6.548648,Fibroblast,Control
-0.67140126,13.347235,Fibroblast,Control
0.68013406,-9.294782,Fibroblast,Control
8.685414,0.37070188,Endothelial,Control
7.392872,1.0395857,Endothelial,Control
7.9934773,1.2118912,Endothelial,Control
5.8443775,2.2243006,Endothelial,Control
0.9887638,-7.493195,Fibroblast,Control
8.478912,1.3679948,Endothelial,Control
8.480997,0.47534874,Endothelial,Control
9.122612,2.87678,Endothelial,Control
0.64687365,-8.293063,Fibroblast,Control
-10.987301,4.1042514,Fibroblast,Control
8.643957,0.5557728,Endothelial,Control
9.163515,2.2816522,Endothelial,Control
3.3160276,3.7802272,Endothelial,Control
8.574047,3.096819,Endothelial,Control
-0.67242455,13.023,Fibroblast,Control
8.351018,2.658292,Endothelial,Control
-0.09474159,-8.533524,Fibroblast,Control
9.798697,2.745479,Endothelial,Control
7.8354855,2.6061523,Endothelial,Control
3.8989954,-6.414622,Fibroblast,Control
8.525287,2.0138035,Endothelial,Control
9.713339,3.3221204,Endothelial,Control
4.988202,9.834095,B_cell,Control
7.8601947,2.210551,Endothelial,Control
0.3088433,-8.514301,Fibroblast,Control
8.938442,1.1736238,Endothelial,Control
1.2945284,-7.441903,Fibroblast,Control
2.5441158,-7.6345797,Fibroblast,Control
2.0826063,-6.930206,Fibroblast,Control
3.6075644,-6.4867935,Fibroblast,Control
7.0800443,1.6717179,Endothelial,Control
8.915858,3.4694865,Endothelial,Control
3.2138002,-6.7001367,Fibroblast,Control
5.688714,1.9563477,Endothelial,Control
5.065159,9.816581,B_cell,Control
7.3759875,1.0720162,Endothelial,Control
1.8632299,-7.059955,Fibroblast,Control
1.3415542,-7.8549395,Fibroblast,Control
-4.2984776,5.296272,Fibroblast,Control
6.31732,4.225493,Endothelial,Control
2.7090108,-6.6850963,Fibroblast,Control
7.305531,1.3395691,Endothelial,Control
7.5124207,1.1181725,Endothelial,Control
9.247234,1.6288823,Endothelial,Control
0.830849,-8.748978,Fibroblast,Control
8.599095,0.5298615,Endothelial,Control
8.136315,4.3563857,Endothelial,Control
9.276692,1.8518072,Endothelial,Control
1.3167927,3.1457229,Endothelial,Control
-0.8903385,13.059867,Fibroblast,Control
9.1592045,1.5067133,Endothelial,Control
1.8379879,-6.227437,Fibroblast,Control
-6.3258843,11.652352,Neutrophil,Control
9.422707,1.7114762,Endothelial,Control
1.3950127,-7.404765,Fibroblast,Control
9.596204,3.2006426,Endothelial,Control
8.08755,1.5417857,Endothelial,Control
7.894934,2.6902018,Endothelial,Control
0.31156868,-7.14309,Fibroblast,Control
3.6515915,-6.3871574,Fibroblast,Control
0.7907438,-8.183518,Fibroblast,Control
9.152311,2.8624318,Endothelial,Control
2.8383083,-6.933147,Fibroblast,Control
0.25246274,-8.995832,Fibroblast,Control
3.5567021,2.1989644,Endothelial,Control
5.752307,-1.1553785,Fibroblast,Control
2.1782238,-7.2809315,Fibroblast,Control
7.91593,1.9208211,Endothelial,Control
4.1129727,3.5839043,Endothelial,Control
1.6635414,-7.9247336,Fibroblast,Control
1.9214429,-6.814023,Fibroblast,Control
8.311791,1.7294086,Endothelial,Control
5.0344386,1.9538523,Endothelial,Control
0.2711844,-8.857345,Fibroblast,Control
0.61562705,-8.219535,Fibroblast,Control
-0.11771679,-6.853096,Fibroblast,Control
9.075053,0.51751333,Endothelial,Control
7.93737,1.8154556,Endothelial,Control
4.259877,-6.088677,Fibroblast,Control
9.083664,2.2129893,Endothelial,Control
-2.7887776,7.5009904,Fibroblast,Control
8.111492,1.9852898,Endothelial,Control
9.044431,0.90789634,Endothelial,Control
1.1862844,-7.218878,Fibroblast,Control
-5.85656,11.077957,Neutrophil,Control
8.170054,0.78130716,Endothelial,Control
8.969781,1.887136,Endothelial,Control
3.0880768,-6.5945845,Fibroblast,Control
9.237293,1.5347123,Endothelial,Control
5.7588706,-1.2151155,Fibroblast,Control
7.7628803,1.3551624,Endothelial,Control
-5.5646086,0.7894679,VSMC,Control
9.174436,1.0849963,Endothelial,Control
9.325672,0.7135378,Endothelial,Control
1.360732,-8.834981,Fibroblast,Control
6.4737883,-0.038877856,Erythrocyte,Control
8.332666,1.0728182,Endothelial,Control
8.842614,2.0184183,Endothelial,Control
-0.03046272,14.216229,Fibroblast,Control
0.89335877,3.43166,Endothelial,Control
4.720565,1.9213274,Endothelial,Control
8.581124,0.8454229,Endothelial,Control
1.7988203,-8.513896,Fibroblast,Control
7.867272,0.1356885,Endothelial,Control
-4.5419,4.855398,Fibroblast,Control
8.36608,0.7618606,Endothelial,Control
8.484565,0.7893903,Endothelial,Control
9.355252,1.0351093,Endothelial,Control
8.136384,1.0741296,Endothelial,Control
8.110219,0.7689008,Endothelial,Control
-0.31258547,13.038239,Fibroblast,Control
7.812763,0.4465855,Endothelial,Control
0.6433587,3.4256449,Endothelial,Control
9.119861,3.8105056,Endothelial,Control
3.1550958,-6.3508205,Fibroblast,Control
0.2030355,-7.2698154,Fibroblast,Control
1.2297018,-7.4468536,Fibroblast,Control
3.4113684,-6.670925,Fibroblast,Control
0.97479373,-8.80533,Fibroblast,Control
7.6829867,0.8861103,Endothelial,Control
8.773785,0.69025886,Endothelial,Control
8.280262,2.479411,Endothelial,Control
-2.3292522,6.0158234,Fibroblast,Control
8.869425,1.600331,Endothelial,Control
2.2477148,15.583878,Fibroblast,Control
8.448962,1.2211908,Endothelial,Control
7.637752,2.6894274,Endothelial,Control
0.2001343,-8.325309,Fibroblast,Control
3.6463864,2.1194382,Endothelial,Control
0.05699863,-7.2010436,Fibroblast,Control
-0.073685564,-7.3803196,Fibroblast,Control
7.4796,0.1497115,Endothelial,Control
5.328257,1.9984595,Endothelial,Control
7.71186,0.6544765,Endothelial,Control
5.777932,-1.6144594,Fibroblast,Control
4.4718266,-5.923334,Fibroblast,Control
2.9816513,2.4181843,Endothelial,Control
2.0267205,15.307518,Fibroblast,Control
1.8627785,-7.4641833,Fibroblast,Control
7.0431247,1.5570115,Endothelial,Control
2.1964738,-6.565687,Fibroblast,Control
-5.853692,-0.8111544,VSMC,Control
7.124106,0.19813062,Endothelial,Control
-1.3992816,6.6455145,Fibroblast,Control
0.09964972,-8.551607,Fibroblast,Control
8.886378,2.430993,Endothelial,Control
-2.8562906,7.6737685,Fibroblast,Control
3.4976437,-6.562486,Fibroblast,Control
4.6118417,-5.8361645,Fibroblast,Control
0.1531044,-8.166504,Fibroblast,Control
1.5686177,15.154873,Fibroblast,Control
4.6495,-5.4029217,Fibroblast,Control
1.8731232,-7.4046717,Fibroblast,Control
0.68486047,-8.281733,Fibroblast,Control
-2.9822924,8.306779,Fibroblast,Control
7.581655,0.09642605,Endothelial,Control
9.977977,2.4511404,Endothelial,Control
9.625341,2.18313,Endothelial,Control
5.6656613,1.811377,Endothelial,Control
9.124327,3.4244795,Endothelial,Control
1.4194909,3.092909,Endothelial,Control
0.19147775,14.339907,Fibroblast,Control
0.21651141,-8.901111,Fibroblast,Control
1.5267099,-7.333644,Fibroblast,Control
8.693789,1.1673816,Endothelial,Control
9.63668,2.227332,Endothelial,Control
3.425063,-6.719009,Fibroblast,Control
4.3721204,2.0773563,Endothelial,Control
9.373254,1.5352204,Endothelial,Control
-5.096941,4.321663,Fibroblast,Control
9.457522,2.7136626,Endothelial,Control
0.039893456,14.121814,Fibroblast,Control
5.1186137,9.817952,B_cell,Control
8.251857,3.4040537,Endothelial,Control
2.533152,2.522161,Endothelial,Control
4.63123,-5.552671,Fibroblast,Control
0.65632534,-7.031144,Fibroblast,Control
8.661308,1.9445653,Endothelial,Control
0.3440838,-8.229111,Fibroblast,Control
0.6590043,13.461058,Fibroblast,Control
8.665873,0.90651435,Endothelial,Control
6.808886,0.43028677,Endothelial,Control
-1.3858491,7.284388,Fibroblast,Control
2.0951934,-6.6340237,Fibroblast,Control
3.415419,3.7667665,Endothelial,Control
8.404762,0.7775672,Endothelial,Control
7.834009,0.57720345,Endothelial,Control
7.7444344,3.0889618,Endothelial,Control
1.9140576,-6.723128,Fibroblast,Control
-1.0999327,-8.428166,Erythrocyte,Control
1.7743667,-8.571959,Fibroblast,Control
2.0715487,-7.558464,Fibroblast,Control
0.7636376,-8.083723,Fibroblast,Control
-2.968783,8.226399,Fibroblast,Control
5.2308564,4.055441,Endothelial,Control
2.4197276,-6.7846403,Fibroblast,Control
9.598679,1.9658295,Endothelial,Control
0.3509649,-7.0559754,Fibroblast,Control
7.4076915,0.31757975,Endothelial,Control
0.30288374,-8.2288885,Fibroblast,Control
7.998562,0.9681601,Endothelial,Control
9.454017,3.7506237,Endothelial,Control
4.4538054,2.0265498,Endothelial,Control
7.5464616,0.3860176,Endothelial,Control
-0.003842071,-7.313122,Fibroblast,Control
-11.09708,4.2037497,Fibroblast,Control
3.5229762,3.7077322,Endothelial,Control
7.2896094,0.6571354,Endothelial,Control
-0.25943124,-8.01542,Fibroblast,Control
7.977933,1.0483493,Endothelial,Control
6.443862,-0.14718005,Endothelial,Control
8.778286,4.121887,Endothelial,Control
7.0324597,0.993826,Endothelial,Control
9.879084,1.9281198,Endothelial,Control
0.25886643,-7.5342464,Fibroblast,Control
1.1750604,3.188085,Endothelial,Control
4.4360013,-6.1203833,Fibroblast,Control
1.8202695,-7.7292657,Fibroblast,Control
4.928388,9.362199,B_cell,Control
8.3328,2.9693782,Endothelial,Control
-0.024361959,-7.3204765,Fibroblast,Control
-4.387732,4.8851137,Fibroblast,Control
8.88426,0.5314915,Endothelial,Control
8.245868,1.162671,Endothelial,Control
0.9998109,-9.091463,Fibroblast,Control
8.665682,3.1642127,Endothelial,Control
5.130982,9.856791,B_cell,Control
3.6685436,-6.4144177,Fibroblast,Control
7.6314707,2.065254,Endothelial,Control
9.657258,1.4721864,Endothelial,Control
-2.8564105,7.6652055,Fibroblast,Control
3.9161253,-6.413762,Fibroblast,Control
8.1503935,0.122299835,Endothelial,Control
8.684106,4.3716655,Endothelial,Control
2.260942,-6.5999227,Fibroblast,Control
-4.4405675,4.806812,Fibroblast,Control
7.952564,2.2158158,Endothelial,Control
7.715048,2.266384,Endothelial,Control
1.1838561,-8.332243,Fibroblast,Control
-0.21332833,15.346035,Fibroblast,Control
8.563531,1.5890138,Endothelial,Control
1.3628392,-7.3191514,Fibroblast,Control
8.961649,1.6052592,Endothelial,Control
8.047978,0.6467971,Endothelial,Control
8.457495,4.966774,Endothelial,Control
-6.486773,11.936322,Neutrophil,Control
5.0568814,9.770223,B_cell,Control
6.298976,3.6712272,Endothelial,Control
-9.803858,3.5465033,Fibroblast,Control
1.6897625,-7.4250336,Fibroblast,Control
0.6923541,-8.375798,Fibroblast,Control
0.42438,-9.151313,Fibroblast,Control
-0.5506939,13.9554205,Fibroblast,Control
9.53538,2.8493059,Endothelial,Control
0.38802636,-8.20531,Fibroblast,Control
9.170664,2.509485,Endothelial,Control
0.8678671,3.3785467,Endothelial,Control
2.458732,15.838163,Fibroblast,Control
2.3697405,-7.2345657,Fibroblast,Control
8.906492,2.6260958,Endothelial,Control
0.4549859,-8.961206,Fibroblast,Control
10.003228,1.8949512,Endothelial,Control
0.96809584,-8.027422,Fibroblast,Control
1.258241,3.2088637,Endothelial,Control
5.7686663,-1.3232584,Fibroblast,Control
8.674733,3.6999786,Endothelial,Control
1.3753557,3.12218,Endothelial,Control
9.047657,0.4647262,Endothelial,Control
3.8740232,-6.375722,Fibroblast,Control
3.6529796,20.354044,Fibroblast,Control
0.12062402,-7.492031,Fibroblast,Control
8.606989,3.429995,Endothelial,Control
8.964352,0.72444206,Endothelial,Control
7.993593,3.6874623,Endothelial,Control
6.099975,-0.94365185,Fibroblast,Control
9.012228,0.18511206,Endothelial,Control
-6.976904,-1.3220444,VSMC,Control
8.593557,1.9137172,Endothelial,Control
8.246335,0.8660512,Endothelial,Control
0.4652138,-7.8531475,Fibroblast,Control
8.910084,2.7492876,Endothelial,Control
8.7503605,0.003625546,Endothelial,Control
-2.9125962,7.675224,Fibroblast,Control
0.22584647,-8.784588,Fibroblast,Control
9.535625,2.095011,Endothelial,Control
13.9181,7.4603133,Fibroblast,Control
1.0236803,3.24606,Endothelial,Control
4.95057,9.268352,B_cell,Control
0.9215128,-7.230614,Fibroblast,Control
3.302538,-6.53103,Fibroblast,Control
8.337258,4.5438533,Endothelial,Control
5.448839,1.8602455,Endothelial,Control
1.0940379,-7.6755314,Fibroblast,Control
8.413641,0.3288715,Endothelial,Control
-10.989385,4.162927,Fibroblast,Control
-0.292805,-7.121997,Fibroblast,Control
6.9650993,1.8242508,Endothelial,Control
-2.0109143,-5.4476595,Fibroblast,Control
7.37134,1.4090598,Endothelial,Control
9.75643,1.68814,Endothelial,Control
-4.7919116,4.4347625,Fibroblast,Control
8.949623,1.0858271,Endothelial,Control
8.642485,0.7788216,Endothelial,Control
-0.72939634,13.322168,Fibroblast,Control
9.937781,1.8763549,Endothelial,Control
7.1763153,1.0834363,Endothelial,Control
0.5833477,-6.9888973,Fibroblast,Control
-0.25399658,12.372177,Fibroblast,Control
0.19045413,-7.166416,Fibroblast,Control
9.561342,1.841294,Endothelial,Control
5.7751446,-1.6871352,Fibroblast,Control
8.09479,0.44602665,Endothelial,Control
-6.1246653,11.792307,Neutrophil,Control
9.488571,3.1840174,Endothelial,Control
5.3274493,9.348168,B_cell,Control
9.062194,0.5376756,Endothelial,Control
0.6812349,-8.412348,Fibroblast,Control
4.1591125,3.4266474,Endothelial,Control
-1.0356032,13.360648,Fibroblast,Control
1.9305334,-7.3693748,Fibroblast,Control
7.561408,1.202554,Endothelial,Control
-3.7985444,5.178264,Fibroblast,Control
0.50839365,12.152124,Fibroblast,Control
8.6616125,2.2379744,Endothelial,Control
5.9923544,1.3385283,Endothelial,Control
8.30038,4.23496,Endothelial,Control
-2.3673751,6.7353168,Fibroblast,Control
1.1494937,3.3168736,Endothelial,Control
9.328637,0.95254195,Endothelial,Control
8.922468,1.6112211,Endothelial,Control
-11.075636,4.1703677,Fibroblast,Control
0.75291467,-8.806187,Fibroblast,Control
8.048618,1.7005792,Endothelial,Control
9.0468,1.5415694,Endothelial,Control
8.808662,1.9533877,Endothelial,Control
7.5148077,0.7611762,Endothelial,Control
7.8443713,0.63758916,Endothelial,Control
7.76987,3.8489437,Endothelial,Control
-6.5559454,12.242886,Neutrophil,Control
7.6356997,0.33217666,Endothelial,Control
8.179382,2.5321755,Endothelial,Control
-10.517713,3.8601243,Fibroblast,Control
-11.249628,4.405454,Fibroblast,Control
6.7233214,1.2419615,Endothelial,Control
8.058726,0.9708639,Endothelial,Control
-11.492014,0.16545238,Erythrocyte,Control
9.03306,0.9892481,Endothelial,Control
3.7273042,-6.452308,Fibroblast,Control
0.8440027,-7.9048796,Fibroblast,Control
8.573526,4.228262,Endothelial,Control
8.086743,1.2983872,Endothelial,Control
9.131773,3.788464,Endothelial,Control
8.4729185,4.393799,Endothelial,Control
7.543427,2.2070458,Endothelial,Control
5.382009,10.586781,B_cell,Control
2.6323843,-6.7609386,Fibroblast,Control
9.114614,3.6310818,Endothelial,Control
7.08619,0.9976991,Endothelial,Control
0.17030194,12.469858,Fibroblast,Control
0.15174569,-8.624003,Fibroblast,Control
7.289139,0.60835665,Endothelial,Control
1.1365316,-9.051019,Fibroblast,Control
9.168908,3.1729438,Endothelial,Control
9.336426,1.2817091,Endothelial,Control
-1.0474811,6.783904,Fibroblast,Control
9.029734,1.5473218,Endothelial,Control
8.215377,0.851901,Endothelial,Control
6.810577,2.7541883,Endothelial,Control
8.211304,3.7227032,Endothelial,Control
5.777904,-0.37220657,Erythrocyte,Control
2.1179771,-6.7142982,Fibroblast,Control
0.071907595,-6.7882853,Fibroblast,Control
8.566597,1.7105446,Endothelial,Control
5.310745,1.9353075,Endothelial,Control
9.162907,1.6377479,Endothelial,Control
8.878467,0.9390703,Endothelial,Control
8.559858,3.8737013,Endothelial,Control
7.7229586,1.3200649,Endothelial,Control
-4.5280128,5.1400666,Fibroblast,Control
3.5861897,-6.1136255,Fibroblast,Control
8.913687,2.801155,Endothelial,Control
-1.6369164,7.209361,Fibroblast,Control
9.100157,3.9280002,Endothelial,Control
7.97752,1.3700664,Endothelial,Control
0.79465425,-8.3146105,Fibroblast,Control
8.359234,1.4530395,Endothelial,Control
-3.9790583,6.400659,Fibroblast,Control
2.2013886,-7.872611,Fibroblast,Control
1.3556874,-7.1179123,Fibroblast,Control
9.071388,2.0260723,Endothelial,Control
8.320994,3.2306824,Endothelial,Control
9.142463,1.97578,Endothelial,Control
2.061753,2.74244,Endothelial,Control
5.7510805,-0.9732293,Fibroblast,Control
1.0442624,-7.9525533,Fibroblast,Control
-3.9206288,7.05376,Fibroblast,Control
9.924348,1.4904405,Endothelial,Control
8.863071,1.0155536,Endothelial,Control
9.966139,2.656862,Endothelial,Control
8.8818035,1.5405374,Endothelial,Control
7.410579,1.0579152,Endothelial,Control
-0.2656325,-5.7321653,Fibroblast,Control
0.16447295,-7.0140038,Fibroblast,Control
8.80197,2.1709142,Endothelial,Control
0.6519913,-7.533938,Fibroblast,Control
2.5504556,-7.3742967,Fibroblast,Control
7.218322,2.4652305,Endothelial,Control
0.13558939,-7.593394,Fibroblast,Control
5.1267076,9.869373,B_cell,Control
4.6446753,-5.443713,Fibroblast,Control
3.7020211,-5.793631,Fibroblast,Control
5.1657033,9.931481,B_cell,Control
5.5410166,2.152334,Endothelial,Control
-1.5750037,7.2576766,Fibroblast,Control
9.474225,1.9275063,Endothelial,Control
8.688991,4.50506,Endothelial,Control
-4.228037,5.165913,Fibroblast,Control
1.5261887,-7.548638,Fibroblast,Control
9.209748,4.093552,Endothelial,Control
5.070439,9.86596,B_cell,Control
5.8205304,-1.7447312,Fibroblast,Control
1.2907621,3.2020664,Endothelial,Control
9.833771,2.6802244,Endothelial,Control
-0.6231574,-8.46283,Erythrocyte,Control
8.964552,0.82011783,Endothelial,Control
7.55935,0.23966713,Endothelial,Control
8.992698,3.2546751,Endothelial,Control
2.383978,-7.028948,Fibroblast,Control
9.098823,2.4732323,Endothelial,Control
2.4548473,-7.0073433,Fibroblast,Control
9.274974,2.4553566,Endothelial,Control
9.797931,2.606769,Endothelial,Control
-4.7094855,4.643108,Fibroblast,Control
6.0717154,-0.77517897,Fibroblast,Control
7.840215,0.3040458,Endothelial,Control
-0.33841404,-8.400187,Fibroblast,Control
8.207646,0.78687376,Endothelial,Control
0.074293934,-7.8428493,Fibroblast,Control
7.658069,0.33520666,Endothelial,Control
-2.074665,7.0827227,Fibroblast,Control
8.17343,4.743332,Endothelial,Control
5.576654,-1.4300263,Fibroblast,Control
3.7668383,-5.2883706,Fibroblast,Control
0.3357648,-8.656261,Fibroblast,Control
8.6701355,0.54886043,Endothelial,Control
8.310982,0.64907193,Endothelial,Control
9.100397,2.395523,Endothelial,Control
8.883501,0.91057795,Endothelial,Control
7.979973,1.1291039,Endothelial,Control
2.458593,-7.5597672,Fibroblast,Control
9.154735,3.6991384,Endothelial,Control
-11.220376,4.1595006,Fibroblast,Control
5.91389,-1.044575,Fibroblast,Control
1.8802024,-6.741831,Fibroblast,Control
9.225908,1.0815026,Endothelial,Control
0.4855733,-8.479416,Fibroblast,Control
9.60067,1.6727076,Endothelial,Control
8.279503,1.6213336,Endothelial,Control
-4.896221,4.361548,Fibroblast,Control
2.4130535,-7.31812,Fibroblast,Control
1.4743111,-8.176904,Fibroblast,Control
5.2794657,9.914519,B_cell,Control
3.5406146,-5.5111475,Fibroblast,Control
9.105191,0.52782416,Endothelial,Control
-4.6113563,4.722538,Fibroblast,Control
0.74263173,-7.6024923,Fibroblast,Control
8.228916,2.3525252,Endothelial,Control
8.276217,0.9893287,Endothelial,Control
0.05469824,12.202063,Fibroblast,Control
0.21520627,-7.241854,Fibroblast,Control
8.792865,1.6784973,Endothelial,Control
7.131354,0.17826663,Endothelial,Control
1.4045715,3.1541028,Endothelial,Control
0.49226436,-7.46694,Fibroblast,Control
9.610554,1.9646108,Endothelial,Control
3.046347,-6.1220284,Fibroblast,Control
8.079129,0.28556752,Endothelial,Control
9.335024,3.0809686,Endothelial,Control
4.8420277,9.243761,B_cell,Control
0.21620393,-7.6163573,Fibroblast,Control
-11.2165365,-0.077744566,Erythrocyte,Control
3.8113458,-5.7758193,Fibroblast,Control
3.39841,-6.386664,Fibroblast,Control
-0.32357663,-7.779935,Fibroblast,Control
-11.426084,0.07392089,Erythrocyte,Control
1.2224892,-8.715081,Fibroblast,Control
7.9070086,1.180775,Endothelial,Control
-0.03493072,-8.908098,Fibroblast,Control
-4.9563036,4.386294,Fibroblast,Control
1.8300645,-7.772461,Fibroblast,Control
9.317822,3.2121634,Endothelial,Control
1.3128469,-8.057126,Fibroblast,Control
2.2744405,15.609851,Fibroblast,Control
9.815891,2.2292647,Endothelial,Control
-6.6785874,11.826304,Neutrophil,Control
8.859017,0.22601831,Endothelial,Control
8.406458,1.3655096,Endothelial,Control
8.734243,1.3329949,Endothelial,Control
4.071601,-5.718864,Fibroblast,Control
2.250496,-6.4395804,Fibroblast,Control
-4.400328,6.608289,Fibroblast,Control
8.241721,1.3125006,Endothelial,Control
8.4952,1.1091921,Endothelial,Control
8.119562,1.5153797,Endothelial,Control
1.0837748,-7.108102,Fibroblast,Control
8.715978,1.9265072,Endothelial,Control
0.39209428,-7.1626163,Fibroblast,Control
9.4336815,2.3960469,Endothelial,Control
0.32568803,-8.326742,Fibroblast,Control
0.72340894,-9.028167,Fibroblast,Control
3.5288327,3.747848,Endothelial,Control
1.4650078,-7.8521852,Fibroblast,Control
8.986757,0.26740694,Endothelial,Control
9.281118,3.4732747,Endothelial,Control
8.9417925,3.2647257,Endothelial,Control
-0.16182345,-7.775433,Fibroblast,Control
2.7203784,-6.9347763,Fibroblast,Control
5.813225,-0.72883785,Fibroblast,Control
8.592434,4.912255,Endothelial,Control
7.3142066,1.0170026,Endothelial,Control
-4.788878,4.559017,Fibroblast,Control
0.3952502,-8.748325,Fibroblast,Control
1.2084197,-8.96228,Fibroblast,Control
0.5897743,-7.66021,Fibroblast,Control
8.6008215,2.6114762,Endothelial,Control
2.4394968,-7.7709203,Fibroblast,Control
9.094741,3.529273,Endothelial,Control
0.8151884,-8.046999,Fibroblast,Control
9.508489,3.1157963,Endothelial,Control
9.8728075,1.7448673,Endothelial,Control
9.269431,0.8676475,Endothelial,Control
7.5146775,1.814994,Endothelial,Control
8.686975,3.7697265,Endothelial,Control
8.763415,2.2131698,Endothelial,Control
9.954271,2.4572992,Endothelial,Control
9.666983,1.9335173,Endothelial,Control
1.1039655,-8.802355,Fibroblast,Control
-4.28215,4.9295874,Fibroblast,Control
-1.5399363,7.2917223,Fibroblast,Control
8.565568,3.0257182,Endothelial,Control
8.733282,2.4577067,Endothelial,Control
-5.689184,0.91173655,VSMC,Control
-4.319964,5.0739822,Fibroblast,Control
2.3071587,-7.721708,Fibroblast,Control
3.719349,3.5570517,Endothelial,Control
0.91801757,-8.386705,Fibroblast,Control
0.29071218,-8.6096,Fibroblast,Control
1.1205655,3.1065,Endothelial,Control
-6.3754644,11.937868,Neutrophil,Control
-0.12549989,-7.380284,Fibroblast,Control
0.5161153,-9.23931,Fibroblast,Control
5.252661,10.189547,B_cell,Control
9.753388,2.1490214,Endothelial,Control
9.584531,3.3336012,Endothelial,Control
0.32176852,12.668984,Fibroblast,Control
8.475249,4.6344533,Endothelial,Control
10.116748,2.123028,Endothelial,Control
1.7856833,-8.101164,Fibroblast,Control
9.020725,4.4953747,Endothelial,Control
8.0364065,1.6365242,Endothelial,Control
9.594255,1.359715,Endothelial,Control
8.06545,0.44686437,Endothelial,Control
0.06860354,-8.60111,Fibroblast,Control
9.10974,2.8061888,Endothelial,Control
8.8902235,1.8778461,Endothelial,Control
8.726838,0.89231217,Endothelial,Control
9.697754,1.5271308,Endothelial,Control
8.026242,3.1736746,Endothelial,Control
-4.8790617,4.6886654,Fibroblast,Control
0.7880671,-9.588612,Fibroblast,Control
-4.822831,4.39162,Fibroblast,Control
9.315612,2.4346075,Endothelial,Control
2.9371502,-6.1928735,Fibroblast,Control
7.0985737,1.083065,Endothelial,Control
8.839578,1.0544974,Endothelial,Control
4.808816,1.8427008,Endothelial,Control
4.6888714,-5.478716,Fibroblast,Control
9.467045,0.57960045,Endothelial,Control
4.37452,-5.4697886,Fibroblast,Control
0.31766328,-9.178747,Fibroblast,Control
0.20271315,-7.814892,Fibroblast,Control
1.7986425,15.282142,Fibroblast,Control
