gene
ST14
DERL3
PRUNE2
PKD2L2
HEPACAM2
TXK
CACNA1E
PROX1
MMRN1
LAX1
TC2N
FAAH
CACNA1H
CENPF
POU2AF1
SLAMF1
LYVE1
MKI67
CLDN7
CTSE
NECAB1
DTX1
CXCR6
IKZF3
SPN
FMN2
CHEK1
PIK3R5
POPDC2
STAT4
APOLD1
PLCG2
FAM78A
MEOX1
DENND1C
SKAP1
PRKCQ
CD2
AMZ1
KIF26A
FAM169B
CD247
IL7R
INPP4B
ARAP2
GIMAP6
TAL1
EPSTI1
TRPT1
AFAP1L1
BCL11B
PTPN22
STAP2
SOX18
THSD1
TEC
SIGIRR
APBA2
CHD7
LAMB3
HCST
CD3G
GPM6A
LCK
FAM65B
ITGA6
TRAF1
RELN
IKZF1
FLI1
UCP2
DAAM2
LY9
ADRB2
CYYR1
ITK
ST8SIA6
RASGRP3
NQO1
LMCD1
UBASH3B
PTPN18
HOXD9
CYFIP2
PARVB
PYCR2
FAM107B
SPNS2
CD93
GIMAP5
S1PR1
STMN1
ARFGEF1
